,shortest
794,3293.168211165492
795,3293.168211165492
796,3293.168211165492
797,3293.168211165492
798,3293.168211165492
799,3293.168211165492
800,3293.168211165492
801,3293.168211165492
802,3293.168211165492
803,3293.168211165492
804,3293.168211165492
805,3293.168211165492
806,3293.168211165492
807,3293.168211165492
808,3293.168211165492
809,3293.168211165492
810,3293.168211165492
811,3293.168211165492
812,3293.168211165492
813,3293.168211165492
814,3293.168211165492
815,3293.168211165492
816,3293.168211165492
817,3293.168211165492
818,3293.168211165492
819,3293.168211165492
820,3293.168211165492
821,3293.168211165492
822,3293.168211165492
823,3293.168211165492
824,3293.168211165492
825,3293.168211165492
826,3293.168211165492
827,3293.168211165492
828,3293.168211165492
829,3293.168211165492
830,3293.168211165492
831,3293.168211165492
832,3293.168211165492
833,3293.168211165492
834,3293.168211165492
835,3293.168211165492
836,3293.168211165492
837,3293.168211165492
838,3293.168211165492
839,3293.168211165492
840,3293.168211165492
841,3293.168211165492
842,3293.168211165492
843,3293.168211165492
844,3293.168211165492
845,3293.168211165492
846,3293.168211165492
847,3293.168211165492
848,3293.168211165492
849,3293.168211165492
850,3293.168211165492
851,3293.168211165492
852,3293.168211165492
853,3293.168211165492
854,3293.168211165492
855,3293.168211165492
856,3293.168211165492
857,3293.168211165492
858,3293.168211165492
859,3293.168211165492
860,3293.168211165492
861,3293.168211165492
862,3293.168211165492
863,3293.168211165492
864,3293.168211165492
865,3293.168211165492
866,3293.168211165492
867,3293.168211165492
868,3293.168211165492
869,3293.168211165492
870,3293.168211165492
871,3293.168211165492
872,3293.168211165492
873,3293.168211165492
874,3293.168211165492
875,3293.168211165492
876,3293.168211165492
877,3293.168211165492
878,3293.168211165492
879,3293.168211165492
880,3293.168211165492
881,3293.168211165492
882,3293.168211165492
883,3293.168211165492
884,3293.168211165492
885,3293.168211165492
886,3293.168211165492
887,3293.168211165492
888,3293.168211165492
889,3293.168211165492
890,3293.168211165492
891,3293.168211165492
892,3293.168211165492
893,3293.168211165492
894,3293.168211165492
895,3293.168211165492
896,3293.168211165492
897,3293.168211165492
898,3293.168211165492
899,3293.168211165492
900,3293.168211165492
901,3293.168211165492
902,3293.168211165492
903,3293.168211165492
904,3293.168211165492
905,3293.168211165492
906,3293.168211165492
907,3293.168211165492
908,3293.168211165492
909,3293.168211165492
910,3293.168211165492
911,3293.168211165492
912,3293.168211165492
913,3293.168211165492
914,3293.168211165492
915,3293.168211165492
916,3293.168211165492
917,3293.168211165492
918,3293.168211165492
919,3293.168211165492
920,3293.168211165492
921,3293.168211165492
922,3293.168211165492
923,3293.168211165492
924,3293.168211165492
925,3293.168211165492
926,3293.168211165492
927,3293.168211165492
928,3293.168211165492
929,3293.168211165492
930,3293.168211165492
931,3293.168211165492
932,3293.168211165492
933,3293.168211165492
934,3293.168211165492
935,3293.168211165492
936,3293.168211165492
937,3293.168211165492
938,3293.168211165492
939,3293.168211165492
940,3293.168211165492
941,3293.168211165492
942,3293.168211165492
943,3293.168211165492
944,3293.168211165492
945,3293.168211165492
946,3293.168211165492
947,3293.168211165492
948,3293.168211165492
949,3293.168211165492
950,3293.168211165492
951,3293.168211165492
952,3293.168211165492
953,3293.168211165492
954,3293.168211165492
955,3293.168211165492
956,3293.168211165492
957,3293.168211165492
958,3293.168211165492
959,3293.168211165492
960,3293.168211165492
961,3293.168211165492
962,3293.168211165492
963,3293.168211165492
964,3293.168211165492
965,3293.168211165492
966,3293.168211165492
967,3293.168211165492
968,3293.168211165492
969,3293.168211165492
970,3293.168211165492
971,3293.168211165492
972,3293.168211165492
973,3293.168211165492
974,3293.168211165492
975,3293.168211165492
976,3293.168211165492
977,3293.168211165492
978,3293.168211165492
979,3293.168211165492
980,3293.168211165492
981,3293.168211165492
982,3293.168211165492
983,3293.168211165492
984,3293.168211165492
985,3293.168211165492
986,3293.168211165492
987,3293.168211165492
988,3293.168211165492
989,3293.168211165492
990,3293.168211165492
991,3293.168211165492
992,3293.168211165492
993,3293.168211165492
994,3293.168211165492
995,3293.168211165492
996,3293.168211165492
997,3293.168211165492
998,3293.168211165492
999,3293.168211165492
