,total
742,329316.8211165489
743,329316.8211165489
744,329316.8211165489
745,329316.8211165489
746,329316.8211165489
747,329316.8211165489
748,329316.8211165489
749,329316.8211165489
750,329549.0745772795
751,329316.8211165489
752,329316.8211165489
753,330414.72376986593
754,330414.72376986593
755,329316.8211165489
756,332035.22650706413
757,332035.22650706413
758,329869.88782818033
759,329316.8211165489
760,329316.8211165489
761,329316.8211165489
762,332167.7761485939
763,331800.71205430623
764,329316.8211165489
765,329316.8211165489
766,329316.8211165489
767,329316.8211165489
768,329316.8211165489
769,329316.8211165489
770,329316.8211165489
771,329316.8211165489
772,329316.8211165489
773,329316.8211165489
774,329316.8211165489
775,329316.8211165489
776,329316.8211165489
777,329316.8211165489
778,329316.8211165489
779,329316.8211165489
780,330251.18975380034
781,331114.5072015242
782,329316.8211165489
783,329316.8211165489
784,329316.8211165489
785,329316.8211165489
786,329316.8211165489
787,329316.8211165489
788,329316.8211165489
789,331493.64967478986
790,331493.64967478986
791,329316.8211165489
792,329316.8211165489
793,329528.3922151771
794,329528.3922151771
795,329316.8211165489
796,329316.8211165489
797,329316.8211165489
798,329316.8211165489
799,329316.8211165489
800,329316.8211165489
801,329316.8211165489
802,329316.8211165489
803,329316.8211165489
804,329316.8211165489
805,329472.9397064506
806,329316.8211165489
807,329316.8211165489
808,329316.8211165489
809,329316.8211165489
810,330359.31705166574
811,335079.921003686
812,332444.3089218994
813,334037.4250685692
814,332444.30892189936
815,331401.8129867826
816,332444.3089218994
817,331401.8129867825
818,329316.8211165489
819,329685.6572861222
820,329316.8211165489
821,329316.8211165489
822,330251.18975380034
823,330294.50230386946
824,329316.8211165489
825,331294.24484333186
826,331294.24484333186
827,329316.8211165489
828,329730.1233416227
829,329730.1233416227
830,329316.8211165489
831,329316.8211165489
832,329316.8211165489
833,329316.8211165489
834,329316.8211165489
835,329316.8211165489
836,329316.8211165489
837,329938.7061233072
838,329316.8211165489
839,329316.8211165489
840,329316.8211165489
841,330612.75219607016
842,329316.8211165489
843,329316.8211165489
844,329316.8211165489
845,329316.8211165489
846,329316.8211165489
847,330580.7141522533
848,329316.8211165489
849,329316.8211165489
850,329316.8211165489
851,329680.24044024834
852,329680.24044024834
853,331196.3436933976
854,330783.0414683238
855,332167.77614859387
856,333210.27208371076
857,331401.8129867826
858,331401.8129867826
859,329316.8211165489
860,329316.8211165489
861,329316.8211165489
862,329316.8211165489
863,329316.8211165489
864,329316.8211165489
865,329316.8211165489
866,329316.8211165489
867,329316.8211165489
868,329316.8211165489
869,330414.72376986593
870,329527.406209822
871,329527.406209822
872,329316.8211165489
873,329316.8211165489
874,329316.8211165489
875,329316.8211165489
876,329316.8211165489
877,329316.8211165489
878,329316.8211165489
879,329316.8211165489
880,329316.8211165489
881,329316.8211165489
882,329938.7061233071
883,329938.7061233071
884,329316.8211165489
885,329316.8211165489
886,329316.8211165489
887,331493.64967478986
888,331493.64967478986
889,329316.8211165489
890,329316.8211165489
891,329316.8211165489
892,329420.99173378217
893,329316.8211165489
894,329497.285355869
895,331867.4040716221
896,329316.8211165489
897,329316.8211165489
898,329316.8211165489
899,329316.8211165489
900,331582.81292883534
901,329840.89560753497
902,329840.89560753497
903,329316.8211165489
904,330216.77345886134
905,330216.7734588613
906,329316.8211165489
907,329316.8211165489
908,329316.8211165489
909,329316.8211165489
910,329316.8211165489
911,329316.8211165489
912,329316.8211165489
913,329316.8211165489
914,329316.8211165489
915,329316.8211165489
916,329316.8211165489
917,329316.8211165489
918,331493.64967478986
919,334048.96482950955
920,331493.64967478986
921,329813.0540115047
922,329316.8211165489
923,329316.8211165489
924,329316.8211165489
925,329316.8211165489
926,329316.8211165489
927,330359.31705166574
928,329316.8211165489
929,329316.8211165489
930,329316.8211165489
931,329316.8211165489
932,329316.8211165489
933,329316.8211165489
934,329905.1960272934
935,329316.8211165489
936,329316.8211165489
937,331686.939832302
938,332050.3591560015
939,332050.3591560015
940,329680.24044024834
941,329680.24044024834
942,330612.75219607016
943,329316.8211165489
944,329316.8211165489
945,329316.8211165489
946,329316.8211165489
947,329316.8211165489
948,329316.8211165489
949,329316.8211165489
950,329316.8211165489
951,329316.8211165489
952,329316.8211165489
953,329316.8211165489
954,329316.8211165489
955,329316.8211165489
956,329316.8211165489
957,329568.7577225493
958,329922.3023182875
959,330238.29212697974
960,329316.8211165489
961,329316.8211165489
962,329869.88782818033
963,329869.88782818033
964,329316.8211165489
965,329316.8211165489
966,330508.38978944917
967,329316.8211165489
968,329316.8211165489
969,329316.8211165489
970,329632.8109252411
971,329948.80073393334
972,329316.8211165489
973,329568.7577225493
